,source,title,author,date,meter
1262,Community Oncology Alliance,"""An independent analysis shows that payments for cancer care will be slashed by close to 45% causing cancer clinics to close and massively raising your healthcare costs.”", Julie Appleby ," December 7, 2021",half-true
1263,Bloggers,“Only the fully vaccinated should fear the new ‘worst ever’ Covid-19 variant; data shows they already account for 4 in every 5 Covid deaths”, Madison Czopek ," December 7, 2021",false
1264,Viral image,A video shows people in Romania protesting COVID-19 vaccines., Ciara O'Rourke ," December 7, 2021",false
1265,Viral image,Says Boris Johnson faked getting his booster shot., Ciara O'Rourke ," December 7, 2021",false
1266,Facebook posts,Says Prince Harry and Meghan Markle’s baby doesn’t exist., Ciara O'Rourke ," December 7, 2021",false
1267,Viral image,Image shows Donald Trump’s new Christmas card., Gabrielle Settles ," December 6, 2021",pants-fire
1268,Facebook posts,"A Canary Islands volcano eruption could lead to a mega tsunami in the U.S., with a 160-foot wave and no warnings.", Monique Curet ," December 6, 2021",false
1269,Tweets,"""Tap water is testing positive for COVID!”", Jeff Cercone ," December 6, 2021",false
1270,Facebook posts,"“On the first day of the Ghislaine Maxwell trial, the CEO of Twitter resigned, the CEO of Walmart resigned, the CEO of CNBC resigned”", Monique Curet ," December 4, 2021",barely-true
1271,Instagram posts,COVID-19 vaccines are gene therapy and a recent Forbes article proves that., Tom Kertscher ," December 3, 2021",false
1272,Joe Biden,“I used to drive a tractor trailer … I only did it for part of a summer.”, Jon Greenberg ," December 3, 2021",false
1273,Kevin McCarthy,The House-passed Build Back Better bill is a “government takeover of child care.”, Louis Jacobson ," December 3, 2021",false
1274,Sean Hannity,"""If you look pre-COVID"" under President Donald Trump, ""we didn't import a single barrel of oil from Saudi Arabia.”", Bill McCarthy ," December 2, 2021",false
1275,Joe Biden,"""The number of small businesses is up 30% compared to before the pandemic.""", Louis Jacobson ," December 2, 2021",false
1276,The Gateway Pundit,"Because of omicron, “the Biden administration has decided to leave the U.S. southern border completely open.”", Tom Kertscher ," December 2, 2021",false
1277,Facebook posts,“Federal magistrate approves $110 million defamation suit against LeBron James by Kyle Rittenhouse.”, Monique Curet ," December 2, 2021",pants-fire
1278,Facebook posts,A chart shows China and India are leading in per capita carbon dioxide emissions., Becca Schimmel ," December 2, 2021",half-true
1279,Bloggers,Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines., Tom Kertscher ," December 2, 2021",false
1280,Facebook posts,"""Don’t be fooled by the next ‘Variant’! There are actually 1000’s of them. They just will pick the next one to keep the fear going.""", Bill McCarthy ," December 1, 2021",barely-true
1281,Facebook posts,Black Friday originated in 1904 when enslaved people were sold at a discount to boost the economy., Monique Curet ," December 1, 2021",false
1282,Facebook posts,“BREAKING: Judge in Ghislaine Maxwell trial issues media-wide gag order: all press & spectators barred from courtroom.”, Monique Curet ," December 1, 2021",false
1283,Tate Reeves,“39 out of 42 (countries) in Europe have more restrictive abortion laws” than Mississippi., Jon Greenberg ," December 1, 2021",half-true
1284,Facebook posts,"Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.", Tom Kertscher ," December 1, 2021",false
1285,Viral image,“Kyle Rittenhouse files $400 million suit against CNN!”, Ciara O'Rourke ," December 1, 2021",false
1286,Facebook posts,"“If you were in the military before 2002 you get an additional $1,200 a year, ($100 per month) in Social Security. But you have to ask for it and almost no one knows about it.”", Monique Curet ," December 1, 2021",barely-true
1287,Viral image,Says Virgil Abloh was a defendant in Ghislaine Maxwell’s criminal case when he died a day before the trial started., Ciara O'Rourke ," December 1, 2021",false
1288,Viral image,Video shows child shouting an expletive at Jill Biden., Ciara O'Rourke ," December 1, 2021",pants-fire
1289,Bloggers,Athletes are collapsing with heart-related issues due to the COVID-19 vaccines, Kayla Steinberg ," December 1, 2021",false
1290,Viral image,A photo shows Jeffrey Epstein with Joe Biden., Ciara O'Rourke ," December 1, 2021",false
1291,Facebook posts,“Malcolm X’s daughter found dead in NYC days after she exposed NYPD and FBI were behind Malcolm X assassination”, Monique Curet ," December 1, 2021",barely-true
1292,Alex Berenson,Vaccinated people under 60 in England “are dying at twice the rate of unvaccinated people the same age. ... I don’t know how to explain this other than vaccine-caused mortality.”, Tom Kertscher ," November 30, 2021",barely-true
1293,Viral image,“Only Reuters” reported that the doctor who detected the omicron variant said its symptoms are “very mild.”, Ciara O'Rourke ," November 30, 2021",false
1294,Bloggers,"“COVID death rates 4 to 1, vaccinated to unvaxxed”", Monique Curet ," November 30, 2021",false
1295,Facebook posts,We know in November 2021 that “none of your previous vaccines will protect you now from the emerging variant omicron.”, Ciara O'Rourke ," November 30, 2021",false
1296,Tammy Baldwin,"“Within two years, there were two 500-year (storm) events” in Wisconsin.", Laura Schulte ," November 30, 2021",mostly-true
1297,Facebook posts,Omicron 'hysteria' was timed so that it would coincide with and distract from the Ghislaine Maxwell trial., Jeff Cercone ," November 30, 2021",pants-fire
1298,Viral image,The omicron variant’s name is evidence the coronavirus pandemic is a hoax., Ciara O'Rourke ," November 30, 2021",false
1299,Viral image,"Says a Vox headline said, “teaching children the Bunny Ear method for tying their shoes” is racist.", Ciara O'Rourke ," November 30, 2021",false
1300,Roger Williams,"""U.S. households are on track to spend $19 billion more on energy by 2030.""", Nusaiba Mizan ," November 30, 2021",half-true
1301,Viral image,“Celine Dion has been paralyzed by the COVID vaccine and cancels her tour.”, Ciara O'Rourke ," November 29, 2021",false
1302,Facebook posts,"""Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida.""", Andy Nguyen ," November 29, 2021",false
1303,Viral image,“Kyle Rittenhouse files a $60 million lawsuit against Joy Behar and Whoopi Goldberg.”, Ciara O'Rourke ," November 29, 2021",false
1304,Viral image,Photo shows people recently protesting in Austria., Ciara O'Rourke ," November 29, 2021",false
1305,Chris Jacobs,"“This one here has subsidies for people making as much as $800,000 to be able to buy a Tesla.”", Jill Terreri Ramos ," November 26, 2021",barely-true
1306,Jerrold Nadler,Kyle Rittenhouse was an “armed person” crossing state lines when he came to Kenosha protests in 2020., Laura Schulte ," November 26, 2021",false
1307,Facebook posts,“The gas station where they initially attacked” Kyle Rittenhouse “is owned by his grandparents.”, Tom Kertscher ," November 24, 2021",false
1308,Instagram posts,“Vitamin D levels of 50 ng/mL correlates to zero mortality rate from COVID.”, Naseem Ferdowsi ," November 24, 2021",false
1309,Alex Jones,"""Fauci admits Covid vax doesn't work""", Vivian Lam ," November 23, 2021",false
1310,Viral image,The Build Back Better bill provides “'parole' amnesty for millions of criminal illegal aliens.”, Tom Kertscher ," November 23, 2021",barely-true
1311,Bloggers,"The FBI targeted a woman and searched her home because she “protested local school board, elections.”", Monique Curet ," November 23, 2021",barely-true
1312,Rick Scott,An increase in Medicare Part B premiums means “America’s seniors are paying the price for Biden’s inflation crisis.”, Phil Galewitz ," November 23, 2021",barely-true
1313,Colin Allred,"""You've had over 2 million women drop out of the workforce during this pandemic.""", Nusaiba Mizan ," November 23, 2021",mostly-true
1314,Bloggers,"""Spike protein goes to nucleus and impairs DNA repair.""", Vivian Lam ," November 23, 2021",half-true
1315,Janet Bewley,“Wisconsin is almost equally divided on partisan lines” and therefore new Legislative maps could be drawn to “represent that 50-50 split.”, Madeline Heim ," November 23, 2021",barely-true
1316,Facebook posts,"The media televised the trial of Kyle Rittenhouse “because he is a ‘white supremacist shooter,’” while limiting coverage of accused sex trafficker Ghislaine Maxwell’s trial to “some cartoon drawing….What are they hiding?”", Monique Curet ," November 22, 2021",barely-true
1317,Facebook posts,The Vatican owns a telescope called Lucifer., Samantha Putterman ," November 22, 2021",false
1318,Facebook posts,President Joe Biden will “control health care costs by slapping a 95% tax on prescription drugs.”, Andy Nguyen ," November 22, 2021",false
1319,Dave Loebsack,"Ashley Hinson’s and Mariannette Miller-Meeks’ no votes on the infrastructure bill are ""denying rural Iowa broadband internet.""", Lauren White ," November 22, 2021",half-true
1320,Facebook posts,“The FBI is using its counterterrorism division to investigate and add ‘threat tags’ to parents who are protesting school boards.”, Madison Czopek ," November 19, 2021",barely-true
1321,Kevin McCarthy,“If you or your family spends $28 a day — prepare to be under constant audit by the IRS.”, Jon Greenberg ," November 19, 2021",false
1322,Facebook posts,Photos showed “bricks everywhere” in Kenosha during the Kyle Rittenhouse trial., Bill McCarthy ," November 19, 2021",false
1323,Bloggers,“German News Agency Tracks 75 Prominent Athletes Suddenly Dead Of Heart Attacks After COVID Vax”, Monique Curet ," November 19, 2021",false
1324,NYS Department of Corrections and Community Supervision,"New York is ""leading the nation with the lowest imprisonment rate of any large state”", Jill Terreri Ramos ," November 19, 2021",true
1325,Bloggers,COVID-19 vaccines contain luciferase., Ciara O'Rourke ," November 19, 2021",false
1326,Viral image,A photo shows Kyle Rittenhouse wearing a “Klan outfit.”, Ciara O'Rourke ," November 19, 2021",pants-fire
1327,Bloggers,“Biden’s banking nominee demands all ‘private bank accounts’ be eliminated”, Jill Terreri Ramos ," November 19, 2021",barely-true
1328,Kevin McCarthy,“Never in American history has so much been spent at one time. Never in American history will so many taxes be raised and so much borrowing be needed to pay for this reckless spending.”, Louis Jacobson ," November 19, 2021",false
1329,Facebook posts,Says Bill Gates is linked to the discovery of vials labeled “smallpox” at Pennsylvania lab., Jeff Cercone ," November 19, 2021",false
1330,Facebook posts,“Trump in the White House!”, Ciara O'Rourke ," November 18, 2021",pants-fire
1331,Facebook posts,The military took over the mainstream media., Ciara O'Rourke ," November 18, 2021",pants-fire
1332,Viral image,“Military arrests former President George W. Bush.”, Ciara O'Rourke ," November 18, 2021",pants-fire
1333,Cheri Beasley,"“We need filibuster reform, and I’ve always been very clear about that.”", Paul Specht ," November 18, 2021",barely-true
1334,Facebook posts,"Says Raz Simone “conquered” part of Seattle, handed out guns to form a paramilitary force that murdered three people, robbed the locals and walked away without being questioned.", Monique Curet ," November 18, 2021",barely-true
1335,Jen Psaki,“No economist out there is projecting that (the Build Back Better bill) will have a negative impact on inflation.”, Louis Jacobson ," November 18, 2021",false
1336,Facebook posts,Keystone Pipeline was blocked by Obama on Warren Buffett’s behalf., Becca Schimmel ," November 18, 2021",false
1337,Viral image,“NAVY SEALs raid cargo ship full of smuggled children.”, Ciara O'Rourke ," November 18, 2021",pants-fire
1338,Viral image,"Unleaded gas costs nearly $7 in Lancaster, Calif.", Ciara O'Rourke ," November 18, 2021",false
1339,Progress Iowa,"""Only one member of Iowa’s federal delegation"" voted in favor of the bipartisan infrastructure legislation.", Lyle Muller ," November 18, 2021",false
1340,Meagan Wolfe,"""Only a court can decide that somebody is incompetent to vote"" -- the state Election Commission ""cannot force facilities, private facilities, to allow special voting deputies"" inside.", D.L. Davis ," November 18, 2021",mostly-true
1341,Viral image,Says Kamala Harris said only vaccinated people are hospitalized and dying from COVID-19., Ciara O'Rourke ," November 17, 2021",pants-fire
1342,Tweets,"""Bill Gates just admitted that the Pfizer and Moderna mRNA vaccines don’t work well.""", Samantha Putterman ," November 17, 2021",false
1343,TikTok posts,The COVID-19 vaccines “failed miserably” in animal trials and are “a type of gene therapy that several top scientists warn will kill you.”, Monique Curet ," November 17, 2021",false
1344,Viral image,“Close to hundreds” of people died at Astroworld., Ciara O'Rourke ," November 17, 2021",false
1345,Facebook posts,"“500 National Guardsmen being called to Kenosha ahead of the Rittenhouse verdict. Had they done this in the first place, there wouldn’t have been a trial.”", Monique Curet ," November 17, 2021",false
1346,Facebook posts,A Kansas City tourism sign had a terrible typo., Jeff Cercone ," November 17, 2021",false
1347,Facebook posts,"A new Facebook/Meta rule allows the company to use people’s photos without their permission, and posting a notice on your page will stop it from doing so.", Samantha Putterman ," November 17, 2021",pants-fire
1348,Viral image,"Timothy Simpkins, a Black teen shooter, got 1 day in jail and $75,000 bail, while Kyle Rittenhouse, a white teen, got 2 months in jail and $2 million bail. “I think it’s pretty evident ... that white privilege is a myth.”", Tom Kertscher ," November 17, 2021",half-true
1349,Bloggers,“Disturbing Pfizer ad tells kids they’ll get superpowers from COVID jab.”, Ciara O'Rourke ," November 16, 2021",false
1350,Facebook posts,"A new medical diagnosis code has been designated for people who decline vaccines, and it will be used to help determine who will go into ""education camps.""", Monique Curet ," November 16, 2021",false
1351,TikTok posts,Actor Macaulay Culkin died from a heroin overdose., Monique Curet ," November 16, 2021",pants-fire
1352,Rick Scott,"""In 2015, when Terry McAuliffe was governor, the Virginia Department of Education promoted incorporating critical race theory lens in education...They were trying to indoctrinate kids.”", Gabrielle Settles ," November 16, 2021",barely-true
1353,Facebook posts,“Stalin once ripped all the feathers off a live chicken as a lesson to his followers.”, Luiz Romero ," November 16, 2021",false
1354,Viral image,Kyle Rittenhouse’s mother “drove him across state lines and dropped him off in the middle of a riot armed with an assault rifle” in Kenosha., Tom Kertscher ," November 15, 2021",false
1355,Viral image,"""Children are 50 times more likely to be killed by the Covid vaccines than by the virus itself.""", Tom Kertscher ," November 15, 2021",pants-fire
1356,Dan Patrick,"Over a million people apprehended at the border this year, ""meaning probably another 2 or 3 million have come in illegally.""", Nusaiba Mizan ," November 15, 2021",half-true
1357,Conservative Beaver,“Wife of Pfizer’s CEO dies after complications from the vaccine.”, Madison Czopek ," November 15, 2021",pants-fire
1358,Facebook posts,Video shows irate airline passenger demanding a seat away from an unvaccinated passenger and being asked to leave the airplane., Monique Curet ," November 15, 2021",false
1359,Bob Good,“The infrastructure bill itself is only 10% true infrastructure.”, Warren Fiske ," November 15, 2021",pants-fire
1360,Facebook posts,Scam artists are using Amazon to send people face masks laced with “something toxic.”, Jeff Cercone ," November 12, 2021",false
1361,Cindy Axne,"“Iowa ranks 45th in the U.S. for internet connectivity.""", Eleanor Hildebrandt ," November 12, 2021",true
1362,Bloggers,"""Report finds increased risk of spontaneous abortion following COVID-19 vaccination during pregnancy” after correcting “major error” in CDC study.", Vivian Lam ," November 12, 2021",false
1363,Bryan Steil,"Says President Joe Biden “is in talks to pay illegal immigrants $450,000.”", Laura Schulte ," November 12, 2021",half-true
1364,Facebook posts,"No new COVID-19 cases in Uttar Pradesh, India, due to use of ivermectin", Jill Terreri Ramos ," November 12, 2021",false
1365,Joe Biden,“No governor in Virginia has ever won when...he or she is the same party as the sitting president.”, Warren Fiske ," November 12, 2021",false
1366,Dennis Prager,"""During the AIDS crisis, can you imagine if gay men and intravenous drug users … had they been pariahs the way the non-vaccinated are? But it would've been inconceivable.""", Louis Jacobson ," November 11, 2021",pants-fire
1367,Viral image,"""There is no added safety to the public if you're vaccinated.""", Tom Kertscher ," November 11, 2021",pants-fire
1368,Bloggers,The military arrested “bedridden Gavin Newsom.”, Gabrielle Settles ," November 11, 2021",pants-fire
1369,Gwen Moore,"“If you’re a low-wage worker and you’re single and don’t have children, we’re literally taxing you into poverty.""", D.L. Davis ," November 11, 2021",mostly-true
1370,Steve Kirsch,“Gavin Newsom is out of sight likely because he has Guillain-Barre syndrome from his booster shot.”, Monique Curet ," November 10, 2021",false
1371,Facebook posts,"""Italy drastically reduced the country’s official COV1D-19 death count by over 97%. This means Covid killed fewer people than an average seasonal flu.”", Samantha Putterman ," November 10, 2021",false
1372,Infowars,“Sending your child to school” on a day when vaccines are being administered “is implied consent” for getting the COVID-19 vaccine., Kayla Steinberg ," November 10, 2021",false
1373,Facebook posts,"Live Nation scheduled the 50,000-person Astroworld music festival at a venue that has a capacity of 20,000.", Monique Curet ," November 10, 2021",false
1374,Instagram posts,"""Arizona Department of Education gives green light on face mask and vaccine mandates, as well as implementing Critical (Race) Theory.”", Jeff Cercone ," November 10, 2021",barely-true
1375,Tweets,Photos show “diesel generators” at the COP26 climate change conference., Tom Kertscher ," November 10, 2021",false
1376,Ron Klain,"The Biden administration inherited gains of “50,000 jobs a month. We're now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That's now down 75%.”", Louis Jacobson ," November 10, 2021",half-true
1377,Viral image,"A banner for COVID-19 vaccines says, “Don’t forget to donate your childrens organs.”", Ciara O'Rourke ," November 10, 2021",false
1378,Facebook posts,“Queen Elizabeth d-e-a-d at age 95.”, Ciara O'Rourke ," November 10, 2021",false
1379,Facebook posts,President Joe Biden threatened to “swoop down with Special Forces folks and gather up every gun in America.”, Monique Curet ," November 9, 2021",false
1380,Bloggers,“More fraud in New Jersey’s election uncovered – voting machines would not allow citizens to vote for Republican governor candidate.”, Samantha Putterman ," November 9, 2021",barely-true
1381,Project Veritas,A crime was committed when a New Jersey election worker allowed someone who said he was not a citizen to fill out a ballot., Monique Curet ," November 9, 2021",false
1382,Facebook posts,Merriam-Webster recently changed its definition of the word “vaccine” and removed the immunity portion., Samantha Putterman ," November 9, 2021",barely-true
1383,David Gura,“FUN FACT: West Virginia is home to zero billionaires.”, Emily Zirkelbach ," November 9, 2021",true
1384,Facebook posts,The deaths at the Astroworld festival were part of a satanic ritual., Ciara O'Rourke ," November 9, 2021",pants-fire
1385,Bloggers,“Australian military being trained to **force vaccinate** in door-to-door attacks.”, Ciara O'Rourke ," November 9, 2021",false
1386,Rebecca Kleefisch,The Biden Department of Justice “would use the FBI to target parents who speak out against critical race theory.”, Madeline Heim ," November 9, 2021",false
1387,Lisa McClain,"In the infrastructure bill that just passed the House, “only 10% is actual infrastructure.”", Louis Jacobson ," November 8, 2021",pants-fire
1388,Tweets,“Fox News went from 97% reporting to 94% in Virginia. The fraud is so blatant it's not funny anymore.”, Tom Kertscher ," November 8, 2021",false
1389,Facebook posts,"""Atheists are prohibited from holding office in 8 states.”", Jeff Cercone ," November 8, 2021",half-true
1390,Bloggers,"“Pfizer Confirms COVID-Vaccinated People Can ‘Shed’ Spike Proteins And Harm The Unvaccinated""", Monique Curet ," November 8, 2021",false
1391,Aaron Rodgers,"""This idea that it's the pandemic of the unvaccinated, it's just a total lie.""", Gabrielle Settles ," November 8, 2021",false
1392,Mark Robinson,Says N.C. Attorney General Josh Stein has gone after Jan. 6 protesters but he has “said nothing” about violent summer protests in North Carolina and was “derelict in his duty.”, Paul Specht ," November 8, 2021",barely-true
1393,Facebook posts,"The Astroworld concert was a “test run on the vaxxed” because people who are injected with graphene oxide can be controlled through magnetic frequencies, including music.", Samantha Putterman ," November 8, 2021",false
1394,Bloggers,"United Kingdom “government reports suggest the fully vaccinated are rapidly developing Acquired Immunodeficiency Syndrome.""", Tom Kertscher ," November 8, 2021",false
1395,Bloggers,"“CEO of Pfizer arrested, charged with fraud.”", Ciara O'Rourke ," November 8, 2021",pants-fire
1396,Facebook posts,"Dr. Herbert Smitherman invented Crest toothpaste, Folgers coffee, Safeguard soap and Bounce fabric softener.", Monique Curet ," November 8, 2021",false
1397,Viral image,Bergen County in New Jersey gave more votes to the Democratic gubernatorial candidate after all the ballots were counted., Ciara O'Rourke ," November 5, 2021",false
1398,Facebook posts,"“The Spanish High Court has announced (COVID-19) is a bio weapon with a patent, not a virus.”", Luiz Romero ," November 5, 2021",false
1399,Facebook posts,“Scientists say this map represents the US in 30 years if we don’t reverse climate change.”, Becca Schimmel ," November 5, 2021",false
1400,Facebook posts,“Trash bins discovered outside the Gloucester County Board of Elections containing blank ballots as well as bags of shredded ballots from Tuesday’s election!”, Samantha Putterman ," November 5, 2021",false
1401,Viral image,"“The day Al Gore was born there were 130,000 glaciers on Earth. Today, only 130,000 remain.”", Ciara O'Rourke ," November 5, 2021",false
1402,Instagram posts,"""Elon Musk to donate $250 billion for reparations to African Americans in U.S.""", Monique Curet ," November 5, 2021",pants-fire
1403,Instagram posts,A video shows “your packages were rerouted and have arrived in the port of Miami” as a result of Gov. Ron DeSantis., Gabrielle Settles ," November 5, 2021",barely-true
1404,Facebook posts,The premier of Australia’s Victoria state “is freezing people’s bank accts” if they are not vaccinated. “They can’t buy or sell until forced into submission.”, Madison Czopek ," November 4, 2021",false
1405,TikTok posts,Product shortages are manufactured; goods are stuck in warehouses., Jill Terreri Ramos ," November 4, 2021",pants-fire
1406,Facebook posts,"“Moderna has been pulled in Iceland and pulled for everyone under age 30 in Finland, Sweden, Norway, Denmark due to heart issues.”", Monique Curet ," November 4, 2021",false
1407,Tucker Carlson,"Federal agents directly incited people on Jan. 6, 2021, and ""intentionally entrapped"" American citizens.", Samantha Putterman ," November 4, 2021",false
1408,Facebook posts,Social media posts suggest a CDC graph shows the COVID-19 vaccine is harmful to children and that California’s school vaccine mandate is dangerous., Sasha Hupka ," November 3, 2021",barely-true
1409,Viral image,President Joe Biden changed suits during his visit to the Vatican., Ciara O'Rourke ," November 3, 2021",pants-fire
1410,Viral image,“Global warming is part of (a) natural cycle and there’s nothing we can actually do to stop these cycles.”, Tom Kertscher ," November 3, 2021",false
1411,Roger Stone,“There are over 1 million phantom voters on the Florida voter rolls.”, Amy Sherman ," November 3, 2021",pants-fire
1412,Jack Posobiec,"A photo taken on Jan. 6, 2021, at the United States Capitol riot was “doctored to look as if the Capitol was on fire.”", Monique Curet ," November 3, 2021",false
1413,Wisconsin Senate Republicans,"“States run elections, not the federal government.”", Laura Schulte ," November 3, 2021",barely-true
1414,Steven Koonin,“Greenland's ice sheet isn't shrinking any more rapidly today than it was 80 years ago.”, Jon Greenberg ," November 3, 2021",barely-true
1415,Joe Biden,"“Wages have gone up higher, faster than inflation.”", Louis Jacobson ," November 2, 2021",barely-true
1416,Tucker Carlson,"“Jan. 6 is being used as a pretext to strip millions of Americans, disfavored Americans, of their core constitutional rights.”", Bill McCarthy ," November 2, 2021",pants-fire
1417,Tucker Carlson,“DEA agent Mark Ibrahim was forced from his job and later indicted simply because he was near the Capitol protest on Jan. 6.”, Samantha Putterman ," November 2, 2021",false
1418,Viral image,In-N-Out cups say “Let’s go Brandon.”, Ciara O'Rourke ," November 2, 2021",false
1419,Facebook posts,“Violent crime rate dropped like a rock following West Virginia’s adoption of permitless carry.”, Duncan Slade ," November 2, 2021",barely-true
1420,Facebook posts,“Virginia man arrested for having Minecraft worlds that were exact replicas of classified U.S. military bases.”, Monique Curet ," November 2, 2021",pants-fire
1421,Viral image,"""The 550 U.S. billionaires together are worth $2.5 trillion. If we confiscated 100% of their wealth, we'd raise enough to run the federal government for less than eight months.""", Tom Kertscher ," November 2, 2021",mostly-true
1422,Instagram posts,"Children who receive COVID-19 vaccinations ""will be walking factories of spike proteins"" that will ""undoubtedly cause illnesses to spread like wildfire in schools.""", Vivian Lam ," November 2, 2021",false
1423,Kelda Helen Roys,Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”, Madeline Heim ," November 2, 2021",true
1424,Instagram posts,"""National Guard to fill in for cops who refuse to get vaccinated.""", Andy Nguyen ," November 1, 2021",false
1425,The Gateway Pundit,“Fairfax County is not requiring the last four digits of Social Security Numbers on absentee ballots in this election.”, Louis Jacobson ," November 1, 2021",barely-true
1426,Facebook posts,“Virginia Democrat operatives” and Terry McAuliffe campaign staffers posed as white supremacists and stood by Republican Glenn Youngkin’s bus., Samantha Putterman ," November 1, 2021",false
1427,TikTok posts,“The Biden administration wants to create an international oversight committee” to alter or cancel Second Amendment rights., Gabrielle Settles ," November 1, 2021",false
1428,Facebook posts,"“Unmask your kids! Any carbon dioxide concentrations above” 2,000 parts per million are “dangerous!”", Tom Kertscher ," November 1, 2021",false
1429,Mary Miller,"The migrant caravan from Tapachula, Mexico “is the population of Minneapolis.”", Kiannah Sepeda-Miller ," October 31, 2021",pants-fire
1430,Instagram posts,Blood “starts to clot in a minute or two” after a Pfizer COVID-19 vaccine injection., Tom Kertscher ," October 29, 2021",false
1431,Hal Turner Radio Show,“Japan drops vax rollout”, Monique Curet ," October 29, 2021",pants-fire
1432,Facebook posts,Virginia voters are being turned away from polling locations because they were told they already requested absentee ballots when they haven’t., Samantha Putterman ," October 29, 2021",barely-true
1433,Viral image,In-N-Out cups say “F--- Joe Biden.”, Ciara O'Rourke ," October 29, 2021",false
1434,Viral image,"Says a CNN headline said, “In And Out is the fast food of white supremacists.”", Ciara O'Rourke ," October 29, 2021",pants-fire
1435,Facebook posts,“Atlanta just lost 75% of its police force”, Andy Nguyen ," October 29, 2021",false
1436,Facebook posts,“Trump is in White House! He promises to lock up Hillary!”, Ciara O'Rourke ," October 29, 2021",pants-fire
1437,Thom Tillis,"""Gas in North Carolina increased 14 cents per gallon this past week, the highest in the nation.""", Paul Specht ," October 29, 2021",mostly-true
1438,Viral image,"""There is no such thing as a booster. There is a failed product that is sometimes used again in hopes of a different outcome.”", Tom Kertscher ," October 29, 2021",false
1439,Facebook posts,“Muslim figure: We must have pork-free menus or we will leave U.S.”, Monique Curet ," October 29, 2021",pants-fire
1440,Facebook posts,“Navy SEALs arrested Hillary Clinton.”, Ciara O'Rourke ," October 29, 2021",pants-fire
1441,Viral image,“Alec Baldwin arrested for first-degree murder and possession of child pornography.”, Ciara O'Rourke ," October 29, 2021",pants-fire
1442,Alex Berenson,"In the United Kingdom, “70-plus percent of the people who die now from COVID are fully vaccinated.”", Tom Kertscher ," October 29, 2021",false
1443,Tweets,Says Marjorie Taylor Greene tweeted: “People can’t really be convicted on such flimsy circumstantial evidence as ‘having a similar gait’ or ‘owning the identical shoes’ or ‘being in DC and not having any alibi for that time’ can they?! I don’t recognize this America.”, Samantha Putterman ," October 28, 2021",pants-fire
1444,Randy Feenstra,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""", Sabine Martin ," October 28, 2021",true
1445,Instagram posts,Says Jen Psaki said Joe Biden wants to protect “marked people.”, Ciara O'Rourke ," October 28, 2021",false
1446,Instagram posts,An image of a newspaper article says “True Bethel Baptist Church becomes the first church in NYS to receive a liquor license.”, Samantha Putterman ," October 28, 2021",pants-fire
1447,Viral image,The Anti-Defamation League classified “Let’s go Brandon” as hate speech., Ciara O'Rourke ," October 28, 2021",pants-fire
1448,Viral image,"Says Donald Trump said, “Alec Baldwin, a total loser, has taken his impression of me to a new low by testing out this theory” by shooting someone.", Ciara O'Rourke ," October 28, 2021",false
1449,Byron Brown,"“Three percent is not a modest tax increase, if you own a $100,000 home in the city of Buffalo, that means an extra $300 a year.”", Jill Terreri Ramos ," October 28, 2021",false
1450,Instagram posts,"“If Bezos has 200 billion dollas, and there’s 7 billion people on earth, why can’t we each get a billion and (he’d) be left with 193 billion dollas?”", Krishnan Anantharaman ," October 28, 2021",pants-fire
1451,Viral image,Photos show Manila Bay before and during Rodrigo Duterte’s administration., Ciara O'Rourke ," October 28, 2021",half-true
1452,Viral image,“79.4% of babies who die of ‘SIDS’ had a vaccine the same day.”, Tom Kertscher ," October 28, 2021",false
1453,Instagram posts,Says Dr. Anthony Fauci planned the AIDS epidemic., Tom Kertscher ," October 28, 2021",pants-fire
1454,Viral image,"“Biden resigned, Pelosi was detained.”", Ciara O'Rourke ," October 28, 2021",pants-fire
1455,Viral image,"Photo shows Sheryl Crow wearing a shirt that says, “Keep America Trumpless.”", Ciara O'Rourke ," October 28, 2021",false
1456,Facebook posts,President Joe Biden withdrew troops from Afghanistan “simply because of Trump Derangement Syndrome and they wanted to reverse any policy that Trump had implemented.”, Louis Jacobson ," October 28, 2021",false
1457,Tom Tiffany,“The seasonal cold and flu is actually more dangerous for kids than the Coronavirus” and “there is very low transmissibility from children to their families and communities.”, Allison Garfield ," October 28, 2021",barely-true
1458,Viral image,“Indiana State Police offers to hire Chicago officers who REFUSE TO COMPLY with vax mandate.”, Ciara O'Rourke ," October 27, 2021",false
1459,Facebook posts,A White House photographer took a picture of Donald Trump at the White House on Oct. 24., Ciara O'Rourke ," October 27, 2021",false
1460,Instagram posts,"With COVID-19, vaccinated people ""are the real threat to"" unvaccinated people.", Tom Kertscher ," October 27, 2021",false
1461,Ashley Hinson,Democrats are “asking for a blank check book to spend as much as they want without worrying about the repercussions.”, Kelsey Harrell ," October 27, 2021",false
